src_ip,dst_ip,src_port,dst_port,protocol,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,avg_pkt_size,pkt_size_entropy,duration,pkt_rate,byte_rate,syn_count,fin_count,rst_count,ack_count
131.202.240.150,184.26.44.104,48093,80,TCP,6,0,396,0,66.0,-0.0,45.401300,0.1321548061399122932603251449,8.722217205234211355181459562,0,1,0,6
131.202.240.150,209.148.205.32,51534,443,TCP,5,0,428,0,85.6,1.9219280948873623,0.027110,184.4337882700110660272962007,15787.53227591294725193655478,0,1,2,3
131.202.240.150,209.148.205.32,51535,443,TCP,5,0,428,0,85.6,1.9219280948873623,0.026998,185.1989036224905548559152530,15853.02615008519149566634566,0,1,2,3
184.26.44.104,131.202.240.150,80,48093,TCP,0,7,0,462,66.0,-0.0,45.396981,0.1541952756726267766572407095,10.17688819439336725937788682,0,1,0,7
209.148.205.32,131.202.240.150,443,51535,TCP,0,4,0,305,76.25,1.5,0.019630,203.7697401935812531839021905,15537.44268976057055527254203,0,1,2,2
209.148.205.32,131.202.240.150,443,51534,TCP,0,4,0,305,76.25,1.5,0.014334,279.0567880563694711873866332,21278.08008929817217803823078,0,1,2,2
131.202.240.150,23.195.220.179,47976,443,TCP,10,0,689,0,68.9,1.1567796494470395,55.367824,0.1806103125887699686373804396,12.44405053736625083911551229,0,1,2,8
23.195.220.179,131.202.240.150,443,47976,TCP,0,8,0,581,72.625,0.5435644431995964,55.337543,0.1445673148155493640185651177,10.49920123847927256184829167,0,1,0,8
131.202.240.150,23.195.220.179,47980,443,TCP,10,0,689,0,68.9,1.1567796494470395,55.335710,0.1807151295248583599993566541,12.45127242426274100395567347,0,1,2,8
23.195.220.179,131.202.240.150,443,47980,TCP,0,8,0,581,72.625,0.5435644431995964,55.304780,0.1446529576647805126428493161,10.50542105040468473068693158,0,1,0,8
54.235.169.60,131.202.240.150,443,39150,TCP,0,2,0,169,84.5,1.0,0.055355,36.13043085538795050130972812,3053.021407280281817360672026,0,1,0,2
131.202.240.150,54.235.169.60,39150,443,TCP,3,0,198,0,66.0,-0.0,0.055347,54.20347986340723074421377852,3577.429670984877229118109383,0,1,0,3
131.202.240.150,173.194.123.88,33924,80,TCP,7,0,462,0,66.0,-0.0,44.762011,0.1563826075642580044046725247,10.32125209924102829070838663,0,1,0,7
173.194.123.88,131.202.240.150,80,33924,TCP,0,6,0,396,66.0,-0.0,44.737046,0.1341170358007097741768645163,8.851724362846845095673058074,0,1,0,6
131.202.240.150,224.0.0.22,0,0,OTHER,14,0,756,0,54.0,-0.0,360.595943,0.03882461872290116142543511645,2.096529411036662716973496288,0,0,0,0
131.202.240.150,131.202.244.3,0,0,OTHER,59,0,5353,0,90.72881355932203,1.5227749263301227,444.718735,0.1326681233701566451883345998,12.03682143051607663886703581,0,0,0,0
131.202.240.150,173.252.100.27,56404,443,TCP,456,0,288318,0,632.2763157894736,3.5616952082570523,445.477022,1.023621819937550000053650354,647.2118330718301335865534272,0,0,0,456
131.202.244.3,131.202.240.150,0,0,OTHER,0,55,0,11215,203.9090909090909,1.1908627724936063,444.625098,0.1236997197130783651803659541,25.22349739240316119086916681,0,0,0,0
173.252.100.27,131.202.240.150,443,56404,TCP,0,390,0,198241,508.3102564102564,4.250493159758054,445.303664,0.8758068516588715964394130833,445.1816053325804208967838181,0,0,0,390
131.202.240.150,209.148.205.26,45116,443,TCP,18,0,2210,0,122.77777777777777,2.522620309531022,180.108288,0.09993987617049582970884715755,12.27039590759976575869734545,1,1,2,15
209.148.205.26,131.202.240.150,443,45116,TCP,0,12,0,1334,111.16666666666667,2.6258145836939115,180.095551,0.06663129618343542534262825848,7.407179092391904783922174735,1,1,2,10
131.202.240.150,173.252.100.27,56824,443,TCP,16,0,1539,0,96.1875,2.474601752714581,2.848819,5.616362429483937027940350019,540.2238611859861928750124174,1,2,3,12
131.202.240.150,54.247.90.74,49879,443,TCP,8,0,528,0,66.0,-0.0,40.956312,0.1953300873379419514139847357,12.89178576430416879332299256,0,1,0,8
131.202.240.150,54.247.90.74,49884,443,TCP,8,0,528,0,66.0,-0.0,40.956312,0.1953300873379419514139847357,12.89178576430416879332299256,0,1,0,8
131.202.240.150,54.247.90.74,49885,443,TCP,8,0,528,0,66.0,-0.0,40.925907,0.1954752035183972831683363792,12.90136343221422068911020103,0,1,0,8
131.202.240.150,54.247.90.74,49882,443,TCP,7,0,462,0,66.0,-0.0,40.920719,0.1710624879294031954814870188,11.29012420334061090177814324,0,1,0,7
131.202.240.150,54.247.90.74,49883,443,TCP,8,0,528,0,66.0,-0.0,40.920700,0.1955000769781553101486533710,12.90300508055825046981112249,0,1,0,8
173.252.100.27,131.202.240.150,443,56824,TCP,0,13,0,4505,346.53846153846155,3.0269868333592873,3.018567,4.306679295175492212033060721,1492.430017289660955016072196,1,1,3,10
131.202.240.150,173.252.79.86,55942,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.086417,0.01809600949580859888757903186,1.655784868866486798213481415,1,1,0,7
131.202.240.150,173.252.79.86,51936,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.086510,0.01809600568902226851482077569,1.655784520545537569106100976,1,1,0,7
131.202.240.150,173.252.79.86,56182,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.086475,0.01809600712168360273858185777,1.655784651634049650580239986,1,1,0,7
131.202.240.150,173.252.79.86,41241,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.086359,0.01809601186993421798839081574,1.655785086098980945937759640,1,1,0,7
131.202.240.150,173.252.79.86,41031,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.086343,0.01809601252486553288528073802,1.655785146025196259003187529,1,1,0,7
131.202.240.150,173.252.79.86,50250,443,TCP,8,0,732,0,91.5,1.5487949406953985,442.086140,0.01809602083431070695860313558,1.655785906339429686712186905,1,1,0,7
131.202.240.150,173.252.79.86,45349,3478,TCP,8,0,732,0,91.5,1.5487949406953985,442.086146,0.01809602058871123276502765594,1.655785883867077798000030519,1,1,0,7
