src_ip,dst_ip,src_port,dst_port,protocol,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,avg_pkt_size,pkt_size_entropy,duration,pkt_rate,byte_rate,syn_count,fin_count,rst_count,ack_count
205.188.12.91,10.8.8.178,443,48911,TCP,0,498,0,93840,188.43373493975903,2.3193607067308664,1025.068267,0.4858213018899354924621815456,91.54512242841676026636770329,0,0,0,498
10.8.8.178,205.188.12.91,48911,443,TCP,509,0,46001,0,90.37524557956777,1.8443138841658997,1025.068175,0.4965523390675942114776902522,44.87603958634263521058001825,0,0,0,509
134.170.25.26,10.8.8.178,443,54269,TCP,0,9,0,689,76.55555555555556,0.7642045065086203,960.134528,0.009373686434074371711377512298,0.7176077725641380121265673304,0,0,0,9
10.8.8.178,134.170.25.26,54269,443,TCP,11,0,1594,0,144.9090909090909,1.3092966682370037,960.134505,0.01145672813831432919911570098,1.660184059315730976671857033,0,0,0,11
157.56.52.13,10.8.8.178,40011,56909,TCP,0,34,0,2187,64.32352941176471,1.900342040961182,981.809227,0.03462994547717771652190838496,2.227520316429049000982754056,0,0,0,34
10.8.8.178,157.56.52.13,56909,40011,TCP,35,0,2667,0,76.2,1.7233767921376648,981.538102,0.03565832027170759795935053777,2.717164004704118964502510978,0,0,0,35
10.8.8.178,157.55.235.153,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
157.55.235.153,10.8.8.178,0,0,OTHER,0,1,0,510,510.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,157.55.130.172,0,0,OTHER,2,0,326,0,163.0,-0.0,604.878896,0.003306446981744259763362615316,0.5389508580243143414281062965,0,0,0,0
157.55.130.172,10.8.8.178,0,0,OTHER,0,2,0,98,49.0,-0.0,604.879514,0.003306443603576893496842744785,0.1620157365752677813452944945,0,0,0,0
10.8.8.178,157.56.53.46,38688,12350,TCP,4,0,218,0,54.5,1.0,540.542624,0.007399971477549936931523091137,0.4032984455264715627680084670,0,0,0,4
157.56.53.46,10.8.8.178,12350,38688,TCP,0,2,0,114,57.0,-0.0,540.264831,0.003701888194902695785504498256,0.2110076271094536597737564006,0,0,0,2
10.8.8.178,198.7.63.141,0,0,OTHER,2,0,128,0,64.0,-0.0,0.000116,17241.37931034482758620689655,1103448.275862068965517241379,0,0,0,0
10.8.8.178,78.46.223.24,0,0,OTHER,1,0,64,0,64.0,-0.0,0.0,0,0,0,0,0,0
198.7.63.141,10.8.8.178,0,0,OTHER,0,2,0,591,295.5,1.0,0.000116,17241.37931034482758620689655,5094827.586206896551724137931,0,0,0,0
78.46.223.24,10.8.8.178,0,0,OTHER,0,1,0,437,437.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,137.117.177.33,40023,443,TCP,11,0,1266,0,115.0909090909091,2.40400975732486,0.774597,14.20093287219031315638970975,1634.398274199357859635397503,1,1,0,10
137.117.177.33,10.8.8.178,443,40023,TCP,0,8,0,3980,497.5,2.5,0.773472,10.34297298415456538827520583,5145.629059616896280666914898,1,1,0,8
64.12.27.65,10.8.8.178,443,34579,TCP,0,4,0,160,40.0,-0.0,618.484333,0.006467423322750521475214150655,0.2586969329100208590085660262,0,0,1,4
10.8.8.178,64.12.27.65,34579,443,TCP,3,0,120,0,40.0,-0.0,600.409062,0.004996593472468275303946028716,0.1998637388987310121578411486,0,0,0,3
64.12.104.73,10.8.8.178,443,49838,TCP,0,3,0,120,40.0,-0.0,600.407079,0.004996609975013302599651727291,0.1998643990005321039860690916,0,0,0,3
10.8.8.178,64.12.104.73,49838,443,TCP,3,0,120,0,40.0,-0.0,600.407086,0.004996609916759043713218268047,0.1998643966703617485287307219,0,0,0,3
10.8.8.178,111.221.74.41,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,157.55.56.153,0,0,OTHER,1,0,63,0,63.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,157.55.235.142,0,0,OTHER,1,0,69,0,69.0,-0.0,0.0,0,0,0,0,0,0
157.55.235.142,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0,0,0,0,0,0
157.55.56.153,10.8.8.178,0,0,OTHER,0,1,0,471,471.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,64.4.23.162,0,0,OTHER,2,0,334,0,167.0,-0.0,603.829903,0.003312191049273026811327030288,0.5531359052285954774916140581,0,0,0,0
111.221.74.41,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0,0,0,0,0,0
64.4.23.162,10.8.8.178,0,0,OTHER,0,2,0,98,49.0,-0.0,603.830946,0.003312185328110030319645127959,0.1622970810773914856626112700,0,0,0,0
10.8.8.178,157.55.56.159,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,111.221.74.31,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,64.4.23.159,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
157.55.56.159,10.8.8.178,0,0,OTHER,0,1,0,899,899.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,157.55.56.169,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
64.4.23.159,10.8.8.178,0,0,OTHER,0,1,0,899,899.0,-0.0,0.0,0,0,0,0,0,0
111.221.74.31,10.8.8.178,0,0,OTHER,0,1,0,899,899.0,-0.0,0.0,0,0,0,0,0,0
157.55.56.169,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,157.56.52.14,0,0,OTHER,1,0,69,0,69.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.178,65.55.223.41,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0,0,0,0,0,0
65.55.223.41,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0,0,0,0,0,0
157.56.52.14,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0,0,0,0,0,0
10.8.8.130,205.188.12.43,44917,443,TCP,565,0,65240,0,115.46902654867256,2.315436951224766,1025.273265,0.5510725962409641101877361447,63.63181624559380274096974527,0,0,0,565
205.188.12.43,10.8.8.130,443,44917,TCP,0,543,0,91138,167.841620626151,2.0727792443511524,1025.072330,0.5297187175074757895377002323,88.90884802246101014159654470,0,0,0,543
